INFO: 03-11-2022 19:47:23 __init__(113) -- This is drone log from Drogno_5
INFO: 03-11-2022 19:48:12 log_status(194) -- Drogno_5: ready	battery: 4.16                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 54	flight time: 0s                    	pos -0.97 0.09 -0.01	yaw: 4.33	msg/s 0.0
INFO: 03-11-2022 19:48:13 log_status(194) -- Drogno_5: ready	battery: 4.16                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 54	flight time: 0s                    	pos -0.96 0.08 -0.01	yaw: 4.17	msg/s 0.0
INFO: 03-11-2022 19:48:14 log_status(194) -- Drogno_5: ready	battery: 4.16                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 55	flight time: 0s                    	pos -0.96 0.08 -0.00	yaw: 3.53	msg/s 0.0
INFO: 03-11-2022 19:48:15 log_status(194) -- Drogno_5: ready	battery: 4.16                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 54	flight time: 0s                    	pos -0.96 0.08 -0.00	yaw: 3.92	msg/s 0.0
INFO: 03-11-2022 19:48:16 log_status(194) -- Drogno_5: ready	battery: 4.16                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 54	flight time: 0s                    	pos -0.96 0.08 -0.01	yaw: 4.33	msg/s 0.0
INFO: 03-11-2022 19:48:17 log_status(194) -- Drogno_5: ready	battery: 4.16                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 55	flight time: 0s                    	pos -0.96 0.08 -0.01	yaw: 4.29	msg/s 0.0
INFO: 03-11-2022 19:48:18 log_status(194) -- Drogno_5: ready	battery: 4.16                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 54	flight time: 0s                    	pos -0.96 0.08 -0.01	yaw: 4.07	msg/s 0.0
INFO: 03-11-2022 19:48:19 log_status(194) -- Drogno_5: ready	battery: 4.16                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 55	flight time: 0s                    	pos -0.96 0.09 -0.01	yaw: 4.29	msg/s 0.0
INFO: 03-11-2022 19:48:21 log_status(194) -- Drogno_5: scrambling!	battery: 4.16                    	kalman var: 0.001 0.001 0.001                    	batterySag: 0.5	link quality: 54	flight time: 0s                    	pos -0.96 0.08 -0.00	yaw: 3.85	msg/s 0.0
INFO: 03-11-2022 19:48:22 log_status(194) -- Drogno_5: ready	battery: 3.59                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 65	flight time: 1s                    	pos -0.97 0.10 0.11	yaw: -0.96	msg/s 0.0
