INFO: 28-10-2022 20:28:42 __init__(112) -- This is drone log from Drogno_3
INFO: 28-10-2022 20:28:45 log_status(183) -- Logger started
INFO: 28-10-2022 20:29:27 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.892 1.892 0.012                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.27 -14.44 -0.15	yaw: 0.02	msg/s 0.0
INFO: 28-10-2022 20:29:29 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 2.363 2.363 0.014                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.28 -17.53 -0.18	yaw: 0.03	msg/s 0.0
INFO: 28-10-2022 20:29:30 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 2.811 2.811 0.015                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.28 -20.36 -0.21	yaw: 0.04	msg/s 0.0
INFO: 28-10-2022 20:29:31 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 3.4 3.4 0.016                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.28 -24.00 -0.25	yaw: 0.04	msg/s 0.0
INFO: 28-10-2022 20:29:32 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 3.953 3.953 0.017                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.26 -27.30 -0.28	yaw: 0.03	msg/s 0.0
INFO: 28-10-2022 20:29:33 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 4.684 4.684 0.018                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.22 -31.55 -0.32	yaw: 0.04	msg/s 0.0
INFO: 28-10-2022 20:29:34 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 5.352 5.352 0.019                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.18 -35.31 -0.36	yaw: 0.04	msg/s 0.0
INFO: 28-10-2022 20:29:35 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 6.23 6.23 0.021                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.12 -40.16 -0.41	yaw: 0.02	msg/s 0.0
INFO: 28-10-2022 20:29:36 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 7.02 7.02 0.022                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.05 -44.38 -0.46	yaw: 0.02	msg/s 0.0
INFO: 28-10-2022 20:29:37 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 8.055 8.055 0.023                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos -0.06 -49.78 -0.52	yaw: 0.02	msg/s 0.0
INFO: 28-10-2022 20:29:38 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 8.992 8.992 0.024                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos -0.16 -54.50 -0.58	yaw: 0.03	msg/s 0.0
INFO: 28-10-2022 20:29:40 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 10.195 10.195 0.026                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos -0.30 -60.47 -0.66	yaw: 0.03	msg/s 0.0
INFO: 28-10-2022 20:29:41 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 11.266 11.266 0.027                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos -0.44 -65.62 -0.72	yaw: 0.02	msg/s 0.0
INFO: 28-10-2022 20:29:42 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 12.648 12.648 0.028                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos -0.62 -72.19 -0.81	yaw: 0.02	msg/s 0.0
INFO: 28-10-2022 20:29:43 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 13.883 13.883 0.029                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos -0.78 -77.88 -0.88	yaw: 0.02	msg/s 0.0
INFO: 28-10-2022 20:29:44 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 15.461 15.461 0.03                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos -1.00 -85.06 -0.98	yaw: 0.03	msg/s 0.0
INFO: 28-10-2022 20:29:45 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 16.859 16.859 0.032                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos -1.19 -91.25 -1.06	yaw: 0.03	msg/s 0.0
INFO: 28-10-2022 20:29:46 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 18.641 18.641 0.033                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos -1.44 -98.88 -1.17	yaw: 0.03	msg/s 0.0
INFO: 28-10-2022 20:29:47 log_status(187) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.007 0.007 0.001                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.00 -0.07 -0.00	yaw: 0.00	msg/s 0.0
INFO: 28-10-2022 20:29:48 log_status(187) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.043 0.043 0.002                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.01 -0.41 -0.01	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 20:29:50 log_status(187) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.098 0.098 0.003                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.03 -0.92 -0.02	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 20:29:51 log_status(187) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.198 0.198 0.005                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.06 -1.80 -0.05	yaw: 0.01	msg/s 0.0
WARNING: 28-10-2022 20:29:51 exit(680) -- closing Drogno_3
