INFO: 18-11-2022 19:48:32 __init__(113) -- This is drone log from Drogno_3
INFO: 18-11-2022 19:48:35 log_status(192) -- Logger started
INFO: 18-11-2022 19:49:16 log_status(196) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 38.375 38.375 0.045                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos 75.81 15.95 1.55	yaw: 0.04	msg/s 0.0
INFO: 18-11-2022 19:49:17 log_status(196) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 41.375 41.375 0.047                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 80.56 16.98 1.66	yaw: 0.04	msg/s 0.0
INFO: 18-11-2022 19:49:18 log_status(196) -- Drogno_3: out of BOX	battery: 4.18                    	kalman var: 44.0 44.0 0.049                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 84.56 17.88 1.74	yaw: 0.04	msg/s 0.0
INFO: 18-11-2022 19:49:19 log_status(196) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 47.281 47.281 0.05                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 89.56 18.98 1.86	yaw: 0.03	msg/s 0.0
INFO: 18-11-2022 19:49:21 log_status(196) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 50.156 50.156 0.051                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos 93.81 19.92 1.95	yaw: 0.03	msg/s 0.0
INFO: 18-11-2022 19:49:22 log_status(196) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 53.688 53.719 0.053                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos 99.00 21.06 2.07	yaw: 0.03	msg/s 0.0
INFO: 18-11-2022 19:49:23 log_status(196) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.006 0.006 0.001                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos 0.02 0.01 0.00	yaw: 0.00	msg/s 0.0
INFO: 18-11-2022 19:49:24 log_status(196) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.041 0.041 0.002                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 0.14 0.04 0.00	yaw: -0.00	msg/s 0.0
INFO: 18-11-2022 19:49:25 log_status(196) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.096 0.096 0.003                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 0.32 0.09 0.01	yaw: -0.01	msg/s 0.0
INFO: 18-11-2022 19:49:26 log_status(196) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.194 0.194 0.004                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 0.64 0.16 0.02	yaw: 0.01	msg/s 0.0
INFO: 18-11-2022 19:49:27 log_status(196) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.306 0.306 0.006                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 1.00 0.24 0.03	yaw: 0.02	msg/s 0.0
INFO: 18-11-2022 19:49:28 log_status(196) -- Drogno_3: BAD kalman	battery: 4.2                    	kalman var: 0.48 0.48 0.007                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 1.54 0.37 0.04	yaw: 0.03	msg/s 0.0
INFO: 18-11-2022 19:49:29 log_status(196) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.662 0.662 0.008                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 2.08 0.49 0.05	yaw: 0.02	msg/s 0.0
INFO: 18-11-2022 19:49:30 log_status(196) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 0.922 0.922 0.009                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 2.85 0.66 0.07	yaw: 0.02	msg/s 0.0
INFO: 18-11-2022 19:49:32 log_status(196) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 1.183 1.183 0.01                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 3.59 0.82 0.09	yaw: 0.03	msg/s 0.0
INFO: 18-11-2022 19:49:33 log_status(196) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 1.541 1.541 0.011                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 4.57 1.03 0.11	yaw: 0.03	msg/s 0.0
INFO: 18-11-2022 19:49:34 log_status(196) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.887 1.887 0.012                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos 5.49 1.23 0.13	yaw: 0.02	msg/s 0.0
INFO: 18-11-2022 19:49:35 log_status(196) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 2.359 2.359 0.014                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 6.70 1.49 0.15	yaw: 0.01	msg/s 0.0
INFO: 18-11-2022 19:49:36 log_status(196) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 2.805 2.805 0.015                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 7.82 1.74 0.17	yaw: 0.02	msg/s 0.0
INFO: 18-11-2022 19:49:37 log_status(196) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 3.4 3.4 0.016                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos 9.26 2.05 0.20	yaw: 0.01	msg/s 0.0
INFO: 18-11-2022 19:49:38 log_status(196) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 3.951 3.951 0.017                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 10.55 2.34 0.22	yaw: 0.01	msg/s 0.0
INFO: 18-11-2022 19:49:39 log_status(196) -- Drogno_3: out of BOX	battery: 4.18                    	kalman var: 4.676 4.676 0.018                    	batterySag: 0.5	link quality: 45	flight time: 0s                    	pos 12.20 2.70 0.25	yaw: 0.01	msg/s 0.0
INFO: 18-11-2022 19:49:40 log_status(196) -- Drogno_3: out of BOX	battery: 4.18                    	kalman var: 5.344 5.344 0.019                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 13.69 3.03 0.28	yaw: 0.00	msg/s 0.0
INFO: 18-11-2022 19:49:41 log_status(196) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 6.219 6.219 0.021                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 15.57 3.45 0.33	yaw: -0.01	msg/s 0.0
INFO: 18-11-2022 19:49:43 log_status(196) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 7.016 7.016 0.022                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 17.23 3.81 0.36	yaw: 0.00	msg/s 0.0
INFO: 18-11-2022 19:49:44 log_status(196) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 8.047 8.047 0.023                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 19.34 4.27 0.40	yaw: 0.01	msg/s 0.0
INFO: 18-11-2022 19:49:45 log_status(196) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 8.984 8.984 0.024                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos 21.20 4.67 0.44	yaw: 0.01	msg/s 0.0
INFO: 18-11-2022 19:49:46 log_status(196) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 10.18 10.18 0.025                    	batterySag: 0.5	link quality: 42	flight time: 0s                    	pos 23.52 5.16 0.49	yaw: 0.02	msg/s 0.0
INFO: 18-11-2022 19:49:47 log_status(196) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 11.258 11.258 0.026                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos 25.56 5.58 0.53	yaw: 0.02	msg/s 0.0
WARNING: 18-11-2022 19:49:47 exit(707) -- closing Drogno_3
INFO: 18-11-2022 19:49:56 __init__(113) -- This is drone log from Drogno_3
INFO: 18-11-2022 19:49:59 log_status(192) -- Logger started
INFO: 18-11-2022 19:50:00 log_status(196) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.01 0.01 0.001                    	batterySag: 0.5	link quality: 45	flight time: 0s                    	pos 0.03 0.01 0.00	yaw: -0.00	msg/s 0.9
INFO: 18-11-2022 19:50:01 log_status(196) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.041 0.041 0.002                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 0.14 0.03 0.01	yaw: 0.00	msg/s 0.0
INFO: 18-11-2022 19:50:03 log_status(196) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.109 0.109 0.003                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 0.37 0.08 0.02	yaw: -0.01	msg/s 0.0
INFO: 18-11-2022 19:50:04 log_status(196) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.213 0.213 0.005                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos 0.71 0.15 0.03	yaw: -0.00	msg/s 0.0
INFO: 18-11-2022 19:50:05 log_status(196) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.332 0.332 0.006                    	batterySag: 0.5	link quality: 42	flight time: 0s                    	pos 1.08 0.22 0.04	yaw: 0.00	msg/s 0.0
INFO: 18-11-2022 19:50:06 log_status(196) -- Drogno_3: BAD kalman	battery: 4.2                    	kalman var: 0.514 0.514 0.007                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos 1.63 0.32 0.06	yaw: -0.02	msg/s 0.0
