INFO: 18-11-2022 20:12:20 __init__(113) -- This is drone log from Drogno_3
INFO: 18-11-2022 20:13:41 log_status(200) -- Drogno_3: ready	battery: 4.02                    	kalman var: 18.844 18.844 0.036                    	batterySag: 0.5	link quality: 40	flight time: 0s                    	pos -33.94 -48.12 3.58	yaw: 0.05	msg/s 0.0
INFO: 18-11-2022 20:13:42 log_status(200) -- Drogno_3: ready	battery: 4.02                    	kalman var: 20.422 20.422 0.037                    	batterySag: 0.5	link quality: 40	flight time: 0s                    	pos -36.38 -51.53 3.80	yaw: 0.05	msg/s 0.0
INFO: 18-11-2022 20:13:43 log_status(200) -- Drogno_3: ready	battery: 4.02                    	kalman var: 22.438 22.422 0.039                    	batterySag: 0.5	link quality: 40	flight time: 0s                    	pos -39.34 -55.78 4.08	yaw: 0.03	msg/s 0.0
INFO: 18-11-2022 20:13:44 log_status(200) -- Drogno_3: ready	battery: 4.02                    	kalman var: 24.203 24.203 0.041                    	batterySag: 0.5	link quality: 40	flight time: 0s                    	pos -41.97 -59.47 4.32	yaw: 0.03	msg/s 0.0
INFO: 18-11-2022 20:13:45 log_status(200) -- Drogno_3: ready	battery: 4.02                    	kalman var: 26.453 26.453 0.043                    	batterySag: 0.5	link quality: 40	flight time: 0s                    	pos -45.22 -64.06 4.61	yaw: 0.03	msg/s 0.0
INFO: 18-11-2022 20:13:46 log_status(200) -- Drogno_3: ready	battery: 4.02                    	kalman var: 28.422 28.422 0.045                    	batterySag: 0.5	link quality: 41	flight time: 0s                    	pos -48.03 -68.06 4.87	yaw: 0.03	msg/s 0.0
INFO: 18-11-2022 20:13:47 log_status(200) -- Drogno_3: ready	battery: 4.02                    	kalman var: 30.906 30.906 0.047                    	batterySag: 0.5	link quality: 40	flight time: 0s                    	pos -51.53 -73.00 5.18	yaw: 0.03	msg/s 0.0
INFO: 18-11-2022 20:13:48 log_status(200) -- Drogno_3: ready	battery: 4.02                    	kalman var: 33.094 33.094 0.048                    	batterySag: 0.5	link quality: 42	flight time: 0s                    	pos -54.59 -77.25 5.44	yaw: 0.04	msg/s 0.0
INFO: 18-11-2022 20:13:50 log_status(200) -- Drogno_3: ready	battery: 4.02                    	kalman var: 35.812 35.812 0.051                    	batterySag: 0.5	link quality: 41	flight time: 0s                    	pos -58.34 -82.50 5.77	yaw: 0.03	msg/s 0.0
INFO: 18-11-2022 20:13:51 log_status(200) -- Drogno_3: ready	battery: 4.02                    	kalman var: 38.219 38.188 0.054                    	batterySag: 0.5	link quality: 41	flight time: 0s                    	pos -61.56 -87.00 6.05	yaw: 0.02	msg/s 0.0
INFO: 18-11-2022 20:13:52 log_status(200) -- Drogno_3: ready	battery: 4.02                    	kalman var: 41.219 41.219 0.056                    	batterySag: 0.5	link quality: 40	flight time: 0s                    	pos -65.62 -92.62 6.39	yaw: 0.03	msg/s 0.0
INFO: 18-11-2022 20:13:53 log_status(200) -- Drogno_3: ready	battery: 4.02                    	kalman var: 43.844 43.812 0.058                    	batterySag: 0.5	link quality: 41	flight time: 0s                    	pos -69.06 -97.44 6.68	yaw: 0.03	msg/s 0.0
INFO: 18-11-2022 20:13:54 log_status(200) -- Drogno_3: ready	battery: 4.02                    	kalman var: 0.005 0.005 0.001                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -0.02 -0.02 0.00	yaw: 0.00	msg/s 0.0
INFO: 18-11-2022 20:13:55 log_status(200) -- Drogno_3: ready	battery: 4.02                    	kalman var: 0.029 0.029 0.002                    	batterySag: 0.5	link quality: 42	flight time: 0s                    	pos -0.09 -0.11 0.01	yaw: 0.00	msg/s 0.0
INFO: 18-11-2022 20:13:56 log_status(200) -- Drogno_3: ready	battery: 4.02                    	kalman var: 0.089 0.089 0.003                    	batterySag: 0.5	link quality: 41	flight time: 0s                    	pos -0.29 -0.33 0.02	yaw: -0.00	msg/s 0.0
INFO: 18-11-2022 20:13:57 log_status(200) -- Drogno_3: ready	battery: 4.02                    	kalman var: 0.166 0.166 0.004                    	batterySag: 0.5	link quality: 42	flight time: 0s                    	pos -0.54 -0.62 0.03	yaw: 0.01	msg/s 0.0
INFO: 18-11-2022 20:13:58 log_status(200) -- Drogno_3: ready	battery: 4.02                    	kalman var: 0.294 0.294 0.005                    	batterySag: 0.5	link quality: 42	flight time: 0s                    	pos -0.94 -1.09 0.04	yaw: 0.02	msg/s 0.0
INFO: 18-11-2022 20:13:59 log_status(200) -- Drogno_3: ready	battery: 4.02                    	kalman var: 0.434 0.434 0.007                    	batterySag: 0.5	link quality: 42	flight time: 0s                    	pos -1.37 -1.60 0.06	yaw: 0.01	msg/s 0.0
INFO: 18-11-2022 20:14:01 log_status(200) -- Drogno_3: ready	battery: 4.02                    	kalman var: 0.643 0.643 0.008                    	batterySag: 0.5	link quality: 42	flight time: 0s                    	pos -2.00 -2.36 0.08	yaw: 0.00	msg/s 0.0
INFO: 18-11-2022 20:14:02 log_status(200) -- Drogno_3: ready	battery: 4.02                    	kalman var: 0.853 0.853 0.009                    	batterySag: 0.5	link quality: 42	flight time: 0s                    	pos -2.61 -3.11 0.11	yaw: 0.00	msg/s 0.0
INFO: 18-11-2022 20:14:03 log_status(200) -- Drogno_3: ready	battery: 4.02                    	kalman var: 1.155 1.155 0.01                    	batterySag: 0.5	link quality: 45	flight time: 0s                    	pos -3.46 -4.17 0.15	yaw: 0.01	msg/s 0.0
INFO: 18-11-2022 20:14:04 log_status(200) -- Drogno_3: ready	battery: 4.02                    	kalman var: 1.449 1.449 0.011                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -4.28 -5.17 0.18	yaw: 0.01	msg/s 0.0
INFO: 18-11-2022 20:14:05 log_status(200) -- Drogno_3: ready	battery: 4.02                    	kalman var: 1.855 1.855 0.013                    	batterySag: 0.5	link quality: 42	flight time: 0s                    	pos -5.37 -6.53 0.22	yaw: 0.00	msg/s 0.0
