INFO: 18-11-2022 18:28:14 __init__(113) -- This is drone log from Drogno_3
INFO: 18-11-2022 18:29:09 log_status(194) -- Drogno_3: ready	battery: 3.59                    	kalman var: 0.534 0.545 0.038                    	batterySag: 0.5	link quality: 45	flight time: 8s                    	pos -0.02 -0.02 -0.02	yaw: 0.26	msg/s 0.0
INFO: 18-11-2022 18:29:11 log_status(194) -- Drogno_3: ready	battery: 3.57                    	kalman var: 0.534 0.545 0.038                    	batterySag: 0.5	link quality: 45	flight time: 9s                    	pos -0.11 -0.11 -0.11	yaw: 0.27	msg/s 0.0
INFO: 18-11-2022 18:29:12 log_status(194) -- Drogno_3: landed	battery: 3.57                    	kalman var: 0.534 0.545 0.038                    	batterySag: 0.5	link quality: 45	flight time: 10s                    	pos -0.23 -0.23 -0.23	yaw: 0.55	msg/s 0.0
INFO: 18-11-2022 18:29:13 log_status(194) -- Drogno_3: ready	battery: 3.53                    	kalman var: 0.241 0.241 0.005                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -0.70 -1.35 -7.56	yaw: 0.98	msg/s 0.0
INFO: 18-11-2022 18:29:14 log_status(194) -- Drogno_3: ready	battery: 3.47                    	kalman var: 0.365 0.366 0.008                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -1.29 -2.32 -11.34	yaw: 1.21	msg/s 0.0
INFO: 18-11-2022 18:29:15 log_status(194) -- Drogno_3: ready	battery: 3.55                    	kalman var: 0.555 0.556 0.013                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -2.75 -3.87 -17.05	yaw: 0.58	msg/s 0.0
INFO: 18-11-2022 18:29:16 log_status(194) -- Drogno_3: ready	battery: 3.48                    	kalman var: 0.747 0.747 0.024                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -4.78 -5.79 -23.02	yaw: 1.68	msg/s 0.0
INFO: 18-11-2022 18:29:17 log_status(194) -- Drogno_3: ready	battery: 3.45                    	kalman var: 1.022 1.024 0.034                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -8.29 -9.23 -31.84	yaw: 1.57	msg/s 0.0
INFO: 18-11-2022 18:29:18 log_status(194) -- Drogno_3: ready	battery: 3.4                    	kalman var: 1.29 1.291 0.053                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -12.23 -13.15 -40.69	yaw: 2.26	msg/s 0.0
INFO: 18-11-2022 18:29:19 log_status(194) -- Drogno_3: ready	battery: 3.39                    	kalman var: 1.662 1.665 0.068                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -18.27 -19.27 -53.22	yaw: 2.69	msg/s 0.0
