INFO: 28-10-2022 16:59:25 __init__(112) -- This is drone log from Drogno_3
INFO: 28-10-2022 16:59:26 log_status(395) -- Logger started
INFO: 28-10-2022 17:00:20 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 5.48 5.48 0.02                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -13.80 -3.37 0.66	yaw: 0.11	msg/s 0.0
INFO: 28-10-2022 17:00:21 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 6.367 6.367 0.021                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -15.61 -3.82 0.75	yaw: 0.11	msg/s 0.0
INFO: 28-10-2022 17:00:22 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 7.172 7.172 0.022                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -17.20 -4.22 0.83	yaw: 0.11	msg/s 0.0
INFO: 28-10-2022 17:00:23 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 8.219 8.219 0.023                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -19.22 -4.73 0.94	yaw: 0.12	msg/s 0.0
INFO: 28-10-2022 17:00:24 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 9.164 9.164 0.024                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -20.98 -5.17 1.03	yaw: 0.14	msg/s 0.0
INFO: 28-10-2022 17:00:25 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 10.375 10.375 0.025                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -23.19 -5.73 1.15	yaw: 0.13	msg/s 0.0
INFO: 28-10-2022 17:00:27 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 11.469 11.469 0.026                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -25.11 -6.23 1.26	yaw: 0.14	msg/s 0.0
INFO: 28-10-2022 17:00:28 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 12.852 12.852 0.028                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -27.48 -6.84 1.39	yaw: 0.13	msg/s 0.0
INFO: 28-10-2022 17:00:29 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 14.102 14.102 0.029                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -29.56 -7.38 1.51	yaw: 0.13	msg/s 0.0
INFO: 28-10-2022 17:00:30 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 15.695 15.695 0.03                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -32.16 -8.05 1.67	yaw: 0.15	msg/s 0.0
INFO: 28-10-2022 17:00:31 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 17.109 17.109 0.031                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -34.38 -8.65 1.80	yaw: 0.16	msg/s 0.0
INFO: 28-10-2022 17:00:32 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 18.906 18.906 0.032                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -37.16 -9.39 1.97	yaw: 0.15	msg/s 0.0
INFO: 28-10-2022 17:00:33 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 20.484 20.484 0.033                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -39.53 -10.03 2.11	yaw: 0.15	msg/s 0.0
INFO: 28-10-2022 17:00:34 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 22.5 22.5 0.035                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -42.50 -10.85 2.30	yaw: 0.15	msg/s 0.0
INFO: 28-10-2022 17:00:35 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 24.266 24.266 0.036                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -45.03 -11.55 2.46	yaw: 0.15	msg/s 0.0
INFO: 28-10-2022 17:00:36 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 26.516 26.516 0.037                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -48.19 -12.44 2.65	yaw: 0.14	msg/s 0.0
INFO: 28-10-2022 17:00:38 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 28.484 28.484 0.038                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -50.91 -13.19 2.82	yaw: 0.15	msg/s 0.0
INFO: 28-10-2022 17:00:39 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 30.969 30.969 0.039                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -54.25 -14.12 3.03	yaw: 0.14	msg/s 0.0
INFO: 28-10-2022 17:00:40 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 33.156 33.156 0.04                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -57.09 -14.94 3.21	yaw: 0.16	msg/s 0.0
INFO: 28-10-2022 17:00:41 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 35.875 35.875 0.042                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -60.62 -15.93 3.44	yaw: 0.16	msg/s 0.0
INFO: 28-10-2022 17:00:42 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 38.281 38.281 0.043                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -63.66 -16.78 3.62	yaw: 0.16	msg/s 0.0
INFO: 28-10-2022 17:00:43 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 41.281 41.281 0.044                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -67.38 -17.83 3.86	yaw: 0.16	msg/s 0.0
INFO: 28-10-2022 17:00:44 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 43.875 43.875 0.045                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -70.56 -18.73 4.06	yaw: 0.17	msg/s 0.0
INFO: 28-10-2022 17:00:45 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 47.125 47.125 0.046                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -74.44 -19.84 4.31	yaw: 0.17	msg/s 0.0
INFO: 28-10-2022 17:00:46 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 50.0 50.0 0.047                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -77.81 -20.80 4.52	yaw: 0.17	msg/s 0.0
INFO: 28-10-2022 17:00:47 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 53.562 53.562 0.049                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -82.00 -21.98 4.79	yaw: 0.16	msg/s 0.0
INFO: 28-10-2022 17:00:49 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 56.656 56.656 0.05                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -85.50 -22.98 5.01	yaw: 0.15	msg/s 0.0
INFO: 28-10-2022 17:00:50 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 60.5 60.5 0.051                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -89.88 -24.23 5.29	yaw: 0.15	msg/s 0.0
INFO: 28-10-2022 17:00:51 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 63.844 63.844 0.052                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -93.56 -25.28 5.52	yaw: 0.16	msg/s 0.0
INFO: 28-10-2022 17:00:52 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 68.062 68.062 0.053                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -98.19 -26.58 5.81	yaw: 0.16	msg/s 0.0
INFO: 28-10-2022 17:00:53 log_status(399) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.003 0.003 0.001                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -0.01 -0.00 0.00	yaw: -0.00	msg/s 0.0
INFO: 28-10-2022 17:00:54 log_status(399) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.031 0.031 0.002                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -0.12 -0.03 0.01	yaw: 0.00	msg/s 0.0
INFO: 28-10-2022 17:00:55 log_status(399) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.078 0.078 0.003                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -0.31 -0.08 0.02	yaw: 0.02	msg/s 0.0
INFO: 28-10-2022 17:00:56 log_status(399) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.169 0.169 0.004                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -0.66 -0.18 0.05	yaw: 0.05	msg/s 0.0
INFO: 28-10-2022 17:00:57 log_status(399) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.274 0.274 0.005                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -1.04 -0.28 0.08	yaw: 0.05	msg/s 0.0
INFO: 28-10-2022 17:00:58 log_status(399) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.439 0.439 0.007                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -1.59 -0.44 0.12	yaw: 0.05	msg/s 0.0
INFO: 28-10-2022 17:01:00 log_status(399) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.611 0.611 0.008                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -2.15 -0.60 0.17	yaw: 0.06	msg/s 0.0
INFO: 28-10-2022 17:01:01 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.862 0.862 0.009                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -2.92 -0.82 0.23	yaw: 0.08	msg/s 0.0
INFO: 28-10-2022 17:01:02 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.11 1.11 0.01                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -3.66 -1.03 0.28	yaw: 0.09	msg/s 0.0
INFO: 28-10-2022 17:01:03 log_status(399) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.456 1.456 0.011                    	batterySag: 0.5	link quality: 39	flight time: 0s                    	pos -4.64 -1.31 0.36	yaw: 0.08	msg/s 0.0
