INFO: 28-10-2022 20:01:24 __init__(112) -- This is drone log from Drogno_3
INFO: 28-10-2022 20:02:04 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.532 0.532 0.007                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.30 -4.71 -0.31	yaw: 0.02	msg/s 0.0
INFO: 28-10-2022 20:02:05 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.723 0.723 0.008                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.39 -6.24 -0.41	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 20:02:06 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.999 0.999 0.009                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.53 -8.35 -0.55	yaw: 0.00	msg/s 0.0
INFO: 28-10-2022 20:02:07 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.269 1.269 0.01                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.65 -10.34 -0.68	yaw: 0.00	msg/s 0.0
INFO: 28-10-2022 20:02:08 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.643 1.643 0.012                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.80 -13.01 -0.87	yaw: -0.00	msg/s 0.0
INFO: 28-10-2022 20:02:10 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 2.002 2.002 0.013                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.94 -15.48 -1.03	yaw: -0.00	msg/s 0.0
INFO: 28-10-2022 20:02:11 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 2.49 2.49 0.014                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 1.12 -18.73 -1.25	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 20:02:12 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 2.949 2.949 0.015                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 1.28 -21.69 -1.44	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 20:02:13 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 3.562 3.562 0.016                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 1.49 -25.53 -1.70	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 20:02:14 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 4.125 4.125 0.017                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 1.67 -28.94 -1.93	yaw: 0.02	msg/s 0.0
