INFO: 27-10-2022 19:54:02 __init__(112) -- This is drone log from Drogno_3
INFO: 27-10-2022 19:54:55 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 5.844 5.844 0.02                    	batterySag: 0.5	link quality: 47	flight time: 0s                    	pos -19.58 -36.97 -0.08	yaw: 0.11	msg/s 0.0
INFO: 27-10-2022 19:54:57 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 6.609 6.609 0.021                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -21.75 -40.97 -0.08	yaw: 0.12	msg/s 0.0
INFO: 27-10-2022 19:54:58 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 7.605 7.605 0.023                    	batterySag: 0.5	link quality: 47	flight time: 0s                    	pos -24.52 -46.03 -0.09	yaw: 0.13	msg/s 0.0
INFO: 27-10-2022 19:54:59 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 8.5 8.5 0.024                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -26.94 -50.47 -0.10	yaw: 0.13	msg/s 0.0
INFO: 27-10-2022 19:55:00 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 9.664 9.664 0.025                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -30.03 -56.09 -0.10	yaw: 0.11	msg/s 0.0
INFO: 27-10-2022 19:55:01 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 10.703 10.703 0.026                    	batterySag: 0.5	link quality: 47	flight time: 0s                    	pos -32.75 -61.00 -0.11	yaw: 0.12	msg/s 0.0
INFO: 27-10-2022 19:55:02 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 12.047 12.047 0.027                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -36.16 -67.19 -0.11	yaw: 0.13	msg/s 0.0
INFO: 27-10-2022 19:55:03 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 13.25 13.25 0.028                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -39.16 -72.56 -0.11	yaw: 0.14	msg/s 0.0
INFO: 27-10-2022 19:55:04 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 14.773 14.773 0.03                    	batterySag: 0.5	link quality: 48	flight time: 0s                    	pos -42.88 -79.25 -0.12	yaw: 0.14	msg/s 0.0
INFO: 27-10-2022 19:55:05 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 16.141 16.141 0.031                    	batterySag: 0.5	link quality: 48	flight time: 0s                    	pos -46.12 -85.12 -0.12	yaw: 0.12	msg/s 0.0
INFO: 27-10-2022 19:55:06 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 17.875 17.875 0.032                    	batterySag: 0.5	link quality: 46	flight time: 0s                    	pos -50.19 -92.38 -0.12	yaw: 0.12	msg/s 0.0
INFO: 27-10-2022 19:55:08 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 19.406 19.406 0.033                    	batterySag: 0.5	link quality: 47	flight time: 0s                    	pos -53.72 -98.69 -0.13	yaw: 0.14	msg/s 0.0
INFO: 27-10-2022 19:55:09 log_status(399) -- Drogno_3: BAD kalman	battery: 4.2                    	kalman var: 0.01 0.01 0.001                    	batterySag: 0.5	link quality: 47	flight time: 0s                    	pos -0.05 -0.10 -0.00	yaw: 0.01	msg/s 0.0
INFO: 27-10-2022 19:55:10 log_status(399) -- Drogno_3: BAD kalman	battery: 4.2                    	kalman var: 0.041 0.041 0.002                    	batterySag: 0.5	link quality: 47	flight time: 0s                    	pos -0.20 -0.38 -0.00	yaw: 0.03	msg/s 0.0
INFO: 27-10-2022 19:55:11 log_status(399) -- Drogno_3: BAD kalman	battery: 4.2                    	kalman var: 0.11 0.11 0.003                    	batterySag: 0.5	link quality: 47	flight time: 0s                    	pos -0.51 -1.00 -0.00	yaw: 0.05	msg/s 0.0
INFO: 27-10-2022 19:55:12 log_status(399) -- Drogno_3: BAD kalman	battery: 4.2                    	kalman var: 0.195 0.195 0.005                    	batterySag: 0.5	link quality: 48	flight time: 0s                    	pos -0.88 -1.73 -0.00	yaw: 0.05	msg/s 0.0
INFO: 27-10-2022 19:55:13 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 0.334 0.334 0.006                    	batterySag: 0.5	link quality: 49	flight time: 0s                    	pos -1.49 -2.89 -0.00	yaw: 0.06	msg/s 0.0
INFO: 27-10-2022 19:55:14 log_status(399) -- Drogno_3: out of BOX	battery: 4.2                    	kalman var: 0.483 0.483 0.007                    	batterySag: 0.5	link quality: 48	flight time: 0s                    	pos -2.11 -4.09 -0.01	yaw: 0.07	msg/s 0.0
