INFO: 28-10-2022 19:54:41 __init__(112) -- This is drone log from Drogno_3
INFO: 28-10-2022 19:55:32 log_status(187) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.027 0.027 0.002                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -0.05 -0.29 0.00	yaw: -0.00	msg/s 0.0
INFO: 28-10-2022 19:55:33 log_status(187) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.072 0.072 0.003                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -0.12 -0.76 0.00	yaw: -0.02	msg/s 0.0
INFO: 28-10-2022 19:55:34 log_status(187) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.159 0.159 0.004                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -0.26 -1.64 0.00	yaw: -0.00	msg/s 0.0
INFO: 28-10-2022 19:55:35 log_status(187) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.261 0.261 0.005                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -0.43 -2.63 0.00	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 19:55:36 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.423 0.423 0.006                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -0.68 -4.15 0.00	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 19:55:38 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.589 0.589 0.007                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -0.95 -5.67 0.00	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 19:55:39 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.835 0.835 0.009                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -1.33 -7.83 0.00	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 19:55:40 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.08 1.08 0.01                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -1.71 -9.91 0.00	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 19:55:41 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.424 1.424 0.011                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos -2.24 -12.75 0.00	yaw: 0.03	msg/s 0.0
INFO: 28-10-2022 19:55:42 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.756 1.756 0.012                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -2.75 -15.41 0.00	yaw: 0.03	msg/s 0.0
INFO: 28-10-2022 19:55:43 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 2.205 2.205 0.013                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -3.43 -18.91 -0.00	yaw: 0.03	msg/s 0.0
INFO: 28-10-2022 19:55:44 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 2.631 2.631 0.015                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -4.06 -22.14 -0.01	yaw: 0.03	msg/s 0.0
INFO: 28-10-2022 19:55:45 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 3.205 3.205 0.016                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -4.90 -26.38 -0.02	yaw: 0.03	msg/s 0.0
INFO: 28-10-2022 19:55:46 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 3.738 3.738 0.017                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -5.68 -30.19 -0.04	yaw: 0.04	msg/s 0.0
INFO: 28-10-2022 19:55:47 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 4.438 4.438 0.018                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -6.68 -35.06 -0.05	yaw: 0.05	msg/s 0.0
INFO: 28-10-2022 19:55:49 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 5.086 5.086 0.02                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos -7.59 -39.50 -0.07	yaw: 0.04	msg/s 0.0
