INFO: 28-10-2022 21:55:48 __init__(112) -- This is drone log from Drogno_3
INFO: 28-10-2022 21:57:07 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 3.15 3.15 0.016                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 0.96 -22.88 -0.48	yaw: -0.07	msg/s 0.0
INFO: 28-10-2022 21:57:08 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 3.789 3.789 0.017                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 1.05 -26.78 -0.56	yaw: -0.08	msg/s 0.0
INFO: 28-10-2022 21:57:09 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 4.379 4.379 0.018                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 1.13 -30.28 -0.63	yaw: -0.07	msg/s 0.0
INFO: 28-10-2022 21:57:10 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 5.152 5.152 0.019                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 1.20 -34.72 -0.73	yaw: -0.07	msg/s 0.0
INFO: 28-10-2022 21:57:11 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 5.863 5.863 0.02                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 1.26 -38.69 -0.81	yaw: -0.08	msg/s 0.0
INFO: 28-10-2022 21:57:12 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 6.789 6.789 0.022                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 1.32 -43.72 -0.92	yaw: -0.09	msg/s 0.0
INFO: 28-10-2022 21:57:13 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 7.633 7.633 0.023                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 1.37 -48.16 -1.01	yaw: -0.09	msg/s 0.0
INFO: 28-10-2022 21:57:14 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 8.727 8.727 0.024                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 1.41 -53.75 -1.14	yaw: -0.08	msg/s 0.0
INFO: 28-10-2022 21:57:15 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 9.703 9.703 0.025                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 1.44 -58.66 -1.24	yaw: -0.08	msg/s 0.0
INFO: 28-10-2022 21:57:17 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 10.961 10.961 0.027                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 1.46 -64.75 -1.38	yaw: -0.06	msg/s 0.0
INFO: 28-10-2022 21:57:18 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 12.094 12.094 0.028                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 1.46 -70.12 -1.49	yaw: -0.06	msg/s 0.0
INFO: 28-10-2022 21:57:19 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 13.555 13.555 0.029                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 1.45 -76.94 -1.63	yaw: -0.06	msg/s 0.0
INFO: 28-10-2022 21:57:20 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 14.836 14.836 0.031                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 1.43 -82.75 -1.76	yaw: -0.07	msg/s 0.0
INFO: 28-10-2022 21:57:21 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 16.484 16.484 0.032                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 1.38 -90.06 -1.91	yaw: -0.07	msg/s 0.0
INFO: 28-10-2022 21:57:22 log_status(194) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 17.938 17.953 0.033                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 1.31 -96.38 -2.04	yaw: -0.07	msg/s 0.0
INFO: 28-10-2022 21:57:23 log_status(194) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.004 0.004 0.001                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.00 -0.04 -0.00	yaw: -0.01	msg/s 0.0
INFO: 28-10-2022 21:57:24 log_status(194) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.028 0.028 0.002                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.02 -0.29 -0.00	yaw: -0.02	msg/s 0.0
INFO: 28-10-2022 21:57:25 log_status(194) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.087 0.087 0.003                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.06 -0.87 -0.01	yaw: -0.02	msg/s 0.0
