INFO: 26-10-2022 17:41:27 __init__(111) -- This is drone log from Drogno_6
INFO: 26-10-2022 17:42:30 log_status(397) -- Drogno_6: ready	battery: 3.67                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 45	flight time: 0s                    	pos 1.59 1.46 2.65	yaw: -146.75	msg/s 0.0
INFO: 26-10-2022 17:42:31 log_status(397) -- Drogno_6: ready	battery: 3.67                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 45	flight time: 0s                    	pos 1.58 1.46 2.64	yaw: -146.75	msg/s 0.0
INFO: 26-10-2022 17:42:33 log_status(397) -- Drogno_6: ready	battery: 3.67                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 1.57 1.46 2.62	yaw: -147.12	msg/s 0.0
INFO: 26-10-2022 17:42:34 log_status(397) -- Drogno_6: ready	battery: 3.68                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 1.59 1.46 2.65	yaw: -147.25	msg/s 0.0
INFO: 26-10-2022 17:42:35 log_status(397) -- Drogno_6: ready	battery: 3.68                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 1.58 1.46 2.64	yaw: -147.50	msg/s 0.0
INFO: 26-10-2022 17:42:36 log_status(397) -- Drogno_6: ready	battery: 3.67                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 1.58 1.46 2.64	yaw: -147.50	msg/s 0.0
INFO: 26-10-2022 17:42:37 log_status(397) -- Drogno_6: ready	battery: 3.67                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 1.57 1.46 2.63	yaw: -147.62	msg/s 0.0
INFO: 26-10-2022 17:42:38 log_status(397) -- Drogno_6: ready	battery: 3.67                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 1.59 1.46 2.65	yaw: -148.12	msg/s 0.0
INFO: 26-10-2022 17:42:39 log_status(397) -- Drogno_6: ready	battery: 3.67                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 1.56 1.46 2.63	yaw: -148.00	msg/s 0.0
INFO: 26-10-2022 17:42:40 log_status(397) -- Drogno_6: ready	battery: 3.67                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 45	flight time: 0s                    	pos 1.58 1.46 2.64	yaw: -148.25	msg/s 0.0
INFO: 26-10-2022 17:42:41 log_status(397) -- Drogno_6: ready	battery: 3.67                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 1.58 1.46 2.64	yaw: -148.12	msg/s 0.0
INFO: 26-10-2022 17:42:42 log_status(397) -- Drogno_6: ready	battery: 3.67                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 1.58 1.46 2.64	yaw: -148.38	msg/s 0.0
INFO: 26-10-2022 17:42:44 log_status(397) -- Drogno_6: ready	battery: 3.67                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 1.59 1.46 2.65	yaw: -148.62	msg/s 0.0
INFO: 26-10-2022 17:42:45 log_status(397) -- Drogno_6: ready	battery: 3.67                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 1.57 1.46 2.63	yaw: -148.62	msg/s 0.0
INFO: 26-10-2022 17:42:46 log_status(397) -- Drogno_6: ready	battery: 3.67                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 1.56 1.46 2.63	yaw: -148.75	msg/s 0.0
INFO: 26-10-2022 17:42:47 log_status(397) -- Drogno_6: ready	battery: 3.66                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 1.58 1.46 2.64	yaw: -148.88	msg/s 0.0
INFO: 26-10-2022 17:42:48 log_status(397) -- Drogno_6: ready	battery: 3.67                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 1.59 1.46 2.65	yaw: -149.00	msg/s 0.0
INFO: 26-10-2022 17:42:49 log_status(397) -- Drogno_6: ready	battery: 3.66                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 1.58 1.46 2.64	yaw: -149.00	msg/s 0.0
INFO: 26-10-2022 17:42:50 log_status(397) -- Drogno_6: ready	battery: 3.67                    	kalman var: 0.001 0.001 0.001                    	batterySag: 0.5	link quality: 44	flight time: 0s                    	pos 1.56 1.44 2.59	yaw: -149.00	msg/s 0.0
INFO: 26-10-2022 17:42:51 log_status(397) -- Drogno_6: ready	battery: 3.66                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos 1.57 1.46 2.64	yaw: -149.50	msg/s 0.0
INFO: 26-10-2022 17:42:52 log_status(397) -- Drogno_6: ready	battery: 3.66                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 42	flight time: 0s                    	pos 1.55 1.45 2.62	yaw: -150.25	msg/s 0.0
INFO: 26-10-2022 17:42:53 log_status(397) -- Drogno_6: ready	battery: 3.66                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 42	flight time: 0s                    	pos 1.58 1.46 2.64	yaw: -150.12	msg/s 0.0
INFO: 26-10-2022 17:42:55 log_status(397) -- Drogno_6: ready	battery: 3.66                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 43	flight time: 0s                    	pos 1.59 1.46 2.65	yaw: -150.38	msg/s 0.0
INFO: 26-10-2022 17:42:56 log_status(397) -- Drogno_6: ready	battery: 3.66                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 42	flight time: 0s                    	pos 1.59 1.45 2.64	yaw: -150.50	msg/s 0.0
INFO: 26-10-2022 17:42:57 log_status(397) -- Drogno_6: ready	battery: 3.66                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 38	flight time: 0s                    	pos 1.60 1.44 2.67	yaw: -151.50	msg/s 0.0
INFO: 26-10-2022 17:42:58 log_status(397) -- Drogno_6: ready	battery: 3.66                    	kalman var: 0.001 0.0 0.0                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 1.53 1.41 2.61	yaw: -152.62	msg/s 0.0
INFO: 26-10-2022 17:42:59 log_status(397) -- Drogno_6: ready	battery: 3.66                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 1.57 1.43 2.64	yaw: -152.25	msg/s 0.0
INFO: 26-10-2022 17:43:00 log_status(397) -- Drogno_6: ready	battery: 3.66                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 1.58 1.44 2.66	yaw: -152.25	msg/s 0.0
INFO: 26-10-2022 17:43:01 log_status(397) -- Drogno_6: ready	battery: 3.66                    	kalman var: 0.001 0.0 0.001                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 1.55 1.42 2.60	yaw: -152.25	msg/s 0.0
