INFO: 28-10-2022 22:02:29 __init__(112) -- This is drone log from Drogno_3
INFO: 28-10-2022 22:02:32 log_status(191) -- Logger started
INFO: 28-10-2022 22:03:09 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.7 0.7 0.008                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.84 -6.22 -0.11	yaw: 0.09	msg/s 0.0
INFO: 28-10-2022 22:03:11 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.922 0.922 0.009                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 1.10 -7.99 -0.15	yaw: 0.08	msg/s 0.0
INFO: 28-10-2022 22:03:12 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.237 1.237 0.01                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 1.46 -10.41 -0.20	yaw: 0.09	msg/s 0.0
INFO: 28-10-2022 22:03:13 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.543 1.543 0.011                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 1.80 -12.68 -0.24	yaw: 0.09	msg/s 0.0
INFO: 28-10-2022 22:03:14 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.964 1.964 0.013                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 2.27 -15.70 -0.30	yaw: 0.09	msg/s 0.0
INFO: 28-10-2022 22:03:15 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 2.363 2.363 0.014                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 2.71 -18.47 -0.35	yaw: 0.10	msg/s 0.0
INFO: 28-10-2022 22:03:16 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 2.902 2.902 0.015                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 3.29 -22.09 -0.42	yaw: 0.11	msg/s 0.0
INFO: 28-10-2022 22:03:17 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 3.4 3.4 0.016                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 3.82 -25.33 -0.48	yaw: 0.11	msg/s 0.0
INFO: 28-10-2022 22:03:18 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 4.07 4.07 0.018                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 4.52 -29.56 -0.56	yaw: 0.11	msg/s 0.0
INFO: 28-10-2022 22:03:19 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 4.688 4.688 0.019                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 5.16 -33.34 -0.63	yaw: 0.11	msg/s 0.0
INFO: 28-10-2022 22:03:20 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 5.496 5.496 0.02                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 5.98 -38.19 -0.73	yaw: 0.13	msg/s 0.0
INFO: 28-10-2022 22:03:22 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 6.234 6.234 0.021                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 6.73 -42.47 -0.81	yaw: 0.14	msg/s 0.0
INFO: 28-10-2022 22:03:23 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 7.191 7.191 0.022                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 7.68 -47.91 -0.91	yaw: 0.14	msg/s 0.0
INFO: 28-10-2022 22:03:24 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 8.062 8.062 0.023                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 8.53 -52.69 -1.00	yaw: 0.14	msg/s 0.0
INFO: 28-10-2022 22:03:25 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 9.195 9.195 0.025                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 9.62 -58.78 -1.11	yaw: 0.14	msg/s 0.0
INFO: 28-10-2022 22:03:26 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 10.211 10.211 0.026                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 10.60 -64.12 -1.21	yaw: 0.15	msg/s 0.0
INFO: 28-10-2022 22:03:27 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 11.516 11.516 0.027                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 11.84 -70.81 -1.33	yaw: 0.15	msg/s 0.0
INFO: 28-10-2022 22:03:28 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 12.68 12.68 0.029                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 12.95 -76.62 -1.44	yaw: 0.15	msg/s 0.0
INFO: 28-10-2022 22:03:29 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 14.18 14.18 0.03                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 14.34 -83.88 -1.57	yaw: 0.16	msg/s 0.0
INFO: 28-10-2022 22:03:30 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 15.508 15.508 0.031                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 15.56 -90.25 -1.68	yaw: 0.16	msg/s 0.0
INFO: 28-10-2022 22:03:31 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 17.188 17.188 0.033                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 17.08 -98.06 -1.81	yaw: 0.16	msg/s 0.0
INFO: 28-10-2022 22:03:33 log_status(195) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.005 0.005 0.001                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.01 -0.05 -0.00	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 22:03:34 log_status(195) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.038 0.038 0.002                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.04 -0.39 -0.01	yaw: 0.02	msg/s 0.0
INFO: 28-10-2022 22:03:35 log_status(195) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.091 0.091 0.003                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.10 -0.91 -0.02	yaw: 0.04	msg/s 0.0
INFO: 28-10-2022 22:03:36 log_status(195) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.188 0.188 0.004                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.20 -1.83 -0.04	yaw: 0.05	msg/s 0.0
INFO: 28-10-2022 22:03:37 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.299 0.299 0.006                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.32 -2.83 -0.06	yaw: 0.05	msg/s 0.0
INFO: 28-10-2022 22:03:38 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.472 0.472 0.007                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.50 -4.33 -0.09	yaw: 0.06	msg/s 0.0
INFO: 28-10-2022 22:03:39 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.651 0.651 0.008                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.69 -5.82 -0.13	yaw: 0.06	msg/s 0.0
INFO: 28-10-2022 22:03:40 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.909 0.909 0.009                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 0.95 -7.89 -0.18	yaw: 0.09	msg/s 0.0
INFO: 28-10-2022 22:03:41 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.166 1.166 0.01                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 1.20 -9.88 -0.23	yaw: 0.10	msg/s 0.0
INFO: 28-10-2022 22:03:42 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.525 1.525 0.011                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 1.54 -12.57 -0.30	yaw: 0.10	msg/s 0.0
INFO: 28-10-2022 22:03:44 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.87 1.87 0.013                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 1.87 -15.05 -0.37	yaw: 0.10	msg/s 0.0
INFO: 28-10-2022 22:03:45 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 2.34 2.34 0.014                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 2.32 -18.34 -0.46	yaw: 0.11	msg/s 0.0
INFO: 28-10-2022 22:03:46 log_status(195) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 2.783 2.783 0.015                    	batterySag: 0.5	link quality: 36	flight time: 0s                    	pos 2.74 -21.34 -0.54	yaw: 0.10	msg/s 0.0
