INFO: 01-08-2022 16:48:30 __init__(126) -- This is dronelog running on Drogno_3
INFO: 01-08-2022 16:48:31 printStatus(162) -- Started
INFO: 01-08-2022 16:49:45 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 42	flight time: 13s	pos -0.00 -0.00 -0.00	yaw: 49.09	msg/s 0.0
INFO: 01-08-2022 16:49:46 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 41	flight time: 13s	pos -0.00 -0.00 -0.00	yaw: 49.19	msg/s 0.0
INFO: 01-08-2022 16:49:47 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 42	flight time: 13s	pos -0.00 -0.00 -0.00	yaw: 48.72	msg/s 0.0
INFO: 01-08-2022 16:49:48 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 42	flight time: 13s	pos -0.00 -0.00 -0.00	yaw: 48.91	msg/s 0.0
INFO: 01-08-2022 16:49:49 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 42	flight time: 13s	pos -0.00 -0.00 -0.00	yaw: 49.47	msg/s 0.0
INFO: 01-08-2022 16:49:50 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 42	flight time: 13s	pos -0.00 -0.00 -0.00	yaw: 49.12	msg/s 0.0
INFO: 01-08-2022 16:49:51 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 42	flight time: 13s	pos -0.00 -0.00 -0.00	yaw: 49.16	msg/s 0.0
INFO: 01-08-2022 16:49:52 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 42	flight time: 13s	pos -0.00 -0.00 -0.00	yaw: 48.81	msg/s 0.0
INFO: 01-08-2022 16:49:54 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 42	flight time: 13s	pos -0.00 -0.00 -0.00	yaw: 49.34	msg/s 0.0
INFO: 01-08-2022 16:49:55 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 42	flight time: 13s	pos 0.00 -0.00 -0.00	yaw: 48.78	msg/s 0.0
INFO: 01-08-2022 16:49:56 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.0 0.0 0.001	 batterySag: 0.66	link quality: 42	flight time: 13s	pos 0.00 -0.00 -0.00	yaw: 48.59	msg/s 0.0
INFO: 01-08-2022 16:49:57 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.001 0.001 0.001	 batterySag: 0.66	link quality: 42	flight time: 13s	pos 0.00 0.00 -0.01	yaw: 47.78	msg/s 0.0
INFO: 01-08-2022 16:49:58 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.001 0.001 0.001	 batterySag: 0.66	link quality: 42	flight time: 13s	pos 0.00 0.00 -0.01	yaw: 48.84	msg/s 0.0
INFO: 01-08-2022 16:49:59 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 42	flight time: 13s	pos -0.00 -0.00 -0.00	yaw: 49.16	msg/s 0.0
INFO: 01-08-2022 16:50:00 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 42	flight time: 13s	pos -0.00 -0.00 -0.00	yaw: 49.31	msg/s 0.0
INFO: 01-08-2022 16:50:01 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 42	flight time: 13s	pos -0.00 -0.00 -0.00	yaw: 48.91	msg/s 0.0
INFO: 01-08-2022 16:50:02 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 43	flight time: 13s	pos -0.00 -0.00 -0.00	yaw: 49.09	msg/s 0.0
INFO: 01-08-2022 16:50:04 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 42	flight time: 13s	pos -0.00 -0.00 -0.00	yaw: 49.31	msg/s 0.0
INFO: 01-08-2022 16:50:05 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.001 0.001 0.001	 batterySag: 0.66	link quality: 42	flight time: 13s	pos 0.00 -0.00 -0.00	yaw: 48.69	msg/s 0.0
INFO: 01-08-2022 16:50:06 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 42	flight time: 13s	pos -0.00 -0.00 -0.00	yaw: 47.66	msg/s 0.0
INFO: 01-08-2022 16:50:07 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 42	flight time: 13s	pos -0.00 -0.00 -0.00	yaw: 47.72	msg/s 0.0
INFO: 01-08-2022 16:50:08 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 43	flight time: 13s	pos -0.00 -0.00 -0.00	yaw: 49.22	msg/s 0.0
INFO: 01-08-2022 16:50:09 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 42	flight time: 13s	pos -0.00 -0.00 -0.00	yaw: 49.03	msg/s 0.0
INFO: 01-08-2022 16:50:10 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 42	flight time: 13s	pos -0.00 -0.00 -0.00	yaw: 49.25	msg/s 0.0
INFO: 01-08-2022 16:50:11 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 42	flight time: 13s	pos -0.00 -0.00 -0.00	yaw: 48.59	msg/s 0.0
INFO: 01-08-2022 16:50:12 printStatus(167) -- Drogno_3: ready	battery: 3.92	kalman var: 0.0 0.0 0.0	 batterySag: 0.66	link quality: 42	flight time: 13s	pos -0.00 -0.00 -0.00	yaw: 49.28	msg/s 0.0
